nb,Parasite,Host,site,PSR,Type,,,,,,
10424,Plasmodium brasilianum,Alouatta guariba,Sao Paulo,,Protozoa,0,0,0,0,1,0
10426,Plasmodium brasilianum,Alouatta guariba,Sao Paulo,,Protozoa,0,0,0,0,1,0
10418,Plasmodium vivax,Alouatta guariba,Sao Paulo,,Protozoa,0,0,0,0,1,0
10420,Plasmodium brasilianum,Alouatta guariba,Sao Paulo,,Protozoa,0,0,0,0,1,0
10419,Plasmodium sp.,Alouatta guariba,Sao Paulo,,Protozoa,0,0,0,0,1,0
2671,Salmonella enterica,Alouatta palliata,PANAMA,0,Bacteria,1,0,0,1,0,0
1157,Trypanoxyuris minutus,Alouatta palliata,Panama,,Helminth,1,0,0,1,0,0
2467,Trypanoxyuris minutus,Alouatta palliata,COSTA RICA,0.981,Helminth,1,0,0,1,0,0
2468,Trypanoxyuris minutus,Alouatta palliata,PANAMA,0.167,Helminth,1,0,0,1,0,0
3187,Trypanoxyuris minutus,Alouatta palliata,La Pacifica,1,Helminth,1,0,0,1,0,0
3189,Trypanoxyuris minutus,Alouatta palliata,La Pacifica,1,Helminth,1,0,0,1,0,0
8959,Trypanoxyuris minutus,Alouatta palliata,Macuspana,0.815,Helminth,1,0,0,1,0,0
2475,Retortamonas sp.,Alouatta palliata,PANAMA,0.12,Protozoa,0,0,0,0,0,0
6689,Mansonella parvum,Alouatta palliata,PANAMA,0,Helminth,0,0,0,0,1,0
2666,Salmonella enterica,Alouatta palliata,PANAMA,0,Bacteria,1,0,0,1,0,0
2673,Salmonella enterica,Alouatta palliata,PANAMA,0,Bacteria,1,0,0,1,0,0
2476,Toxoplasma sp.,Alouatta palliata,PANAMA,0,Protozoa,0,0,0,0,0,1
910,Flavivirus St. Louis encephalitis,Alouatta palliata,Cerro Cana,0,Virus,0,0,0,0,1,0
2466,Parabronema bonnei,Alouatta palliata,PANAMA,0.012,Helminth,0,0,0,0,1,0
6687,Dipetalonema gracile,Alouatta palliata,PANAMA,0,Helminth,0,0,0,0,1,0
8984,Entamoeba coli,Alouatta palliata,Los Tuxtlas,0.667,Protozoa,1,0,0,1,0,0
8985,Entamoeba coli,Alouatta palliata,Los Tuxtlas,0.667,Protozoa,1,0,0,1,0,0
8986,Entamoeba coli,Alouatta palliata,Los Tuxtlas,0.667,Protozoa,1,0,0,1,0,0
3186,Parabronema sp.,Alouatta palliata,La Selva,,Helminth,0,0,0,0,1,0
5706,Parabronema sp.,Alouatta palliata,Los Tuxtlas,0.026,Helminth,0,0,0,0,1,0
5709,Parabronema sp.,Alouatta palliata,MEXICO,0,Helminth,0,0,0,0,1,0
8975,Parabronema sp.,Alouatta palliata,Los Tuxtlas,0.917,Helminth,0,0,0,0,1,0
8976,Parabronema sp.,Alouatta palliata,Los Tuxtlas,0.833,Helminth,0,0,0,0,1,0
8977,Parabronema sp.,Alouatta palliata,Los Tuxtlas,1,Helminth,0,0,0,0,1,0
3106,Flavivirus St. Louis encephalitis,Alouatta palliata,Maje,0.07,Virus,0,0,0,0,1,0
2643,Salmonella enterica,Alouatta palliata,PANAMA,0.03,Bacteria,1,0,0,1,0,0
1156,Parabronema bonnei,Alouatta palliata,Panama,,Helminth,0,0,0,0,1,0
2462,Raillietina demerariensis,Alouatta palliata,PANAMA,0.019,Helminth,0,0,0,0,0,1
3191,Isospora sp.,Alouatta palliata,Santa Rosa,0.11,Protozoa,0,0,0,0,0,0
2178,Trypanosoma minasense,Alouatta palliata,PANAMA,,Protozoa,0,0,0,0,1,0
3140,Trypanosoma minasense,Alouatta palliata,PANAMA,0,Protozoa,0,0,0,0,1,0
2622,Deltaretrovirus sp.,Alouatta palliata,Darien,0,Virus,1,1,1,0,0,0
2463,Controrchis biliophilus,Alouatta palliata,COSTA RICA,0.323,Helminth,0,0,0,0,0,1
2464,Controrchis biliophilus,Alouatta palliata,COSTA RICA,1,Helminth,0,0,0,0,0,1
3190,Controrchis biliophilus,Alouatta palliata,La Pacifica,0.32,Helminth,0,0,0,0,0,1
5704,Controrchis biliophilus,Alouatta palliata,Los Tuxtlas,0.026,Helminth,0,0,0,0,0,1
5707,Controrchis biliophilus,Alouatta palliata,MEXICO,0.143,Helminth,0,0,0,0,0,1
5710,Controrchis biliophilus,Alouatta palliata,Los Tuxtlas,0,Helminth,0,0,0,0,0,1
5711,Controrchis biliophilus,Alouatta palliata,Los Tuxtlas,0,Helminth,0,0,0,0,0,1
5714,Controrchis biliophilus,Alouatta palliata,MEXICO,0.083,Helminth,0,0,0,0,0,1
5715,Controrchis biliophilus,Alouatta palliata,MEXICO,0.25,Helminth,0,0,0,0,0,1
8969,Controrchis biliophilus,Alouatta palliata,Los Tuxtlas,0.667,Helminth,0,0,0,0,0,1
8970,Controrchis biliophilus,Alouatta palliata,Los Tuxtlas,0.667,Helminth,0,0,0,0,0,1
8971,Controrchis biliophilus,Alouatta palliata,Los Tuxtlas,0.667,Helminth,0,0,0,0,0,1
2669,Salmonella enterica,Alouatta palliata,PANAMA,0,Bacteria,1,0,0,1,0,0
3139,Trypanosoma cruzi,Alouatta palliata,PANAMA,0,Protozoa,0,0,0,0,1,0
2672,Salmonella enterica,Alouatta palliata,PANAMA,0.03,Bacteria,1,0,0,1,0,0
2471,Giardia sp.,Alouatta palliata,PANAMA,0.5,Protozoa,0,0,0,1,0,0
3188,Ascaris lumbricoides,Alouatta palliata,La Pacifica,0.006,Helminth,0,0,0,1,0,0
5705,Trypanoxyuris sp.,Alouatta palliata,Los Tuxtlas,0.105,Helminth,1,0,0,1,0,0
5708,Trypanoxyuris sp.,Alouatta palliata,MEXICO,0.143,Helminth,1,0,0,1,0,0
5712,Trypanoxyuris sp.,Alouatta palliata,Los Tuxtlas,0.111,Helminth,1,0,0,1,0,0
5713,Trypanoxyuris sp.,Alouatta palliata,Los Tuxtlas,0.143,Helminth,1,0,0,1,0,0
5716,Trypanoxyuris sp.,Alouatta palliata,MEXICO,0.083,Helminth,1,0,0,1,0,0
5717,Trypanoxyuris sp.,Alouatta palliata,MEXICO,0.25,Helminth,1,0,0,1,0,0
7145,Trypanoxyuris sp.,Alouatta palliata,Macuspana,0.813,Helminth,1,0,0,1,0,0
7146,Trypanoxyuris sp.,Alouatta palliata,Macuspana,0.818,Helminth,1,0,0,1,0,0
8987,Ascaris sp.,Alouatta palliata,Los Tuxtlas,0.167,Helminth,0,0,0,1,0,0
8988,Ascaris sp.,Alouatta palliata,Los Tuxtlas,0.333,Helminth,0,0,0,1,0,0
8989,Ascaris sp.,Alouatta palliata,Los Tuxtlas,0.333,Helminth,0,0,0,1,0,0
897,Flavivirus Yellow Fever,Alouatta palliata,Cerro Cana,0.03,Virus,0,0,0,0,1,0
3104,Flavivirus Yellow Fever,Alouatta palliata,Maje,0.64,Virus,0,0,0,0,1,0
3105,Flavivirus Ilheus,Alouatta palliata,Maje,0,Virus,0,0,0,0,1,0
2461,Prosthenorchis elegans,Alouatta palliata,PANAMA,0.012,Helminth,0,0,0,0,0,1
2465,Mansonella marmosetae,Alouatta palliata,PANAMA,0.038,Helminth,0,0,0,0,1,0
3174,Mansonella marmosetae,Alouatta palliata,PANAMA,0.034,Helminth,0,0,0,0,1,0
2670,Salmonella enterica,Alouatta palliata,PANAMA,0.01,Bacteria,1,0,0,1,0,0
3107,Alphavirus Mayaro virus,Alouatta palliata,Maje,0.6,Virus,0,0,0,0,1,0
2667,Salmonella enterica,Alouatta palliata,PANAMA,0.03,Bacteria,1,0,0,1,0,0
6688,Mansonella atelensis,Alouatta palliata,PANAMA,0,Helminth,0,0,0,0,1,0
8978,Strongyloides sp.,Alouatta palliata,Los Tuxtlas,0.917,Helminth,0,0,0,1,0,0
8979,Strongyloides sp.,Alouatta palliata,Los Tuxtlas,0.833,Helminth,0,0,0,1,0,0
8980,Strongyloides sp.,Alouatta palliata,Los Tuxtlas,1,Helminth,0,0,0,1,0,0
3143,Trypanosoma sp.,Alouatta palliata,PANAMA,0,Protozoa,0,0,0,0,1,0
2470,Entamoeba sp.,Alouatta palliata,PANAMA,0.12,Protozoa,0,0,0,0,0,0
8981,Entamoeba sp.,Alouatta palliata,Los Tuxtlas,1,Protozoa,0,0,0,0,0,0
8982,Entamoeba sp.,Alouatta palliata,Los Tuxtlas,1,Protozoa,0,0,0,0,0,0
8983,Entamoeba sp.,Alouatta palliata,Los Tuxtlas,1,Protozoa,0,0,0,0,0,0
1768,Plasmodium brasilianum,Alouatta palliata,SOUTH AMERICA,,Protozoa,0,0,0,0,1,0
1973,Plasmodium brasilianum,Alouatta palliata,PANAMA,,Protozoa,0,0,0,0,1,0
2472,Plasmodium brasilianum,Alouatta palliata,PANAMA,0.25,Protozoa,0,0,0,0,1,0
2473,Plasmodium brasilianum,Alouatta palliata,PANAMA,0.01,Protozoa,0,0,0,0,1,0
2235,Alphavirus Mayaro virus,Alouatta palliata,SOUTH AMERICA,,Virus,0,0,0,0,1,0
6690,Mansonella marmosetae,Alouatta palliata,PANAMA,0,Helminth,0,0,0,0,1,0
7207,Cyclospora sp.,Alouatta palliata,Macuspana,0.029,Protozoa,0,0,0,0,0,0
1158,Trypanoxyuris sp.,Alouatta palliata,Panama,,Helminth,1,0,0,1,0,0
2644,Shigella sonnei,Alouatta palliata,PANAMA,0,Bacteria,1,0,0,1,1,0
2469,Chilomastix sp.,Alouatta palliata,PANAMA,0.12,Protozoa,0,0,0,0,0,0
2668,Salmonella sp.,Alouatta palliata,PANAMA,0,Bacteria,1,0,0,1,0,0
2478,Trypanosoma mycetae,Alouatta palliata,PANAMA,0.01,Protozoa,0,0,0,0,1,0
3141,Trypanosoma mycetae,Alouatta palliata,PANAMA,0.01,Protozoa,0,0,0,0,1,0
3142,Trypanosoma rangeli,Alouatta palliata,PANAMA,0,Protozoa,0,0,0,0,1,0
2477,Trichomonas sp.,Alouatta palliata,PANAMA,0.75,Protozoa,0,0,0,0,0,0
6686,Mansonella panamensis,Alouatta palliata,PANAMA,0,Helminth,0,0,0,0,1,0
6685,Dipetalonema obtusa,Alouatta palliata,PANAMA,0,Helminth,0,0,0,0,1,0
10638,Controrchis sp.,Alouatta palliata,Macuspana,,Helminth,0,0,0,0,0,1
10639,Controrchis sp.,Alouatta palliata,Macuspana,,Helminth,0,0,0,0,0,1
10642,Controrchis sp.,Alouatta palliata,Macuspana,,Helminth,0,0,0,0,0,1
10643,Controrchis sp.,Alouatta palliata,Macuspana,,Helminth,0,0,0,0,0,1
8972,Trypanoxyuris minutus,Alouatta palliata,Los Tuxtlas,1,Helminth,1,0,0,1,0,0
8973,Trypanoxyuris minutus,Alouatta palliata,Los Tuxtlas,1,Helminth,1,0,0,1,0,0
8974,Trypanoxyuris minutus,Alouatta palliata,Los Tuxtlas,1,Helminth,1,0,0,1,0,0
10302,Chromobacterium violaceum ,Alouatta palliata,Ballena,,Bacteria,,,,1,0,0
4799,Trypanoxyuris minutus,Alouatta pigra,Belize and Mexico,0.08,Helminth,1,0,0,1,0,0
4800,Trypanoxyuris minutus,Alouatta pigra,Belize and Mexico,0.27,Helminth,1,0,0,1,0,0
4981,Trypanoxyuris minutus,Alouatta pigra,Belize and Mexico,0.077,Helminth,1,0,0,1,0,0
4982,Trypanoxyuris minutus,Alouatta pigra,Belize and Mexico,0.2,Helminth,1,0,0,1,0,0
5122,Trypanoxyuris minutus,Alouatta pigra,Belize and Mexico,0.091,Helminth,1,0,0,1,0,0
5123,Trypanoxyuris minutus,Alouatta pigra,Belize and Mexico,0.368,Helminth,1,0,0,1,0,0
5249,Trypanoxyuris minutus,Alouatta pigra,Belize and Mexico,0.125,Helminth,1,0,0,1,0,0
5250,Trypanoxyuris minutus,Alouatta pigra,Belize and Mexico,0.25,Helminth,1,0,0,1,0,0
5383,Trypanoxyuris minutus,Alouatta pigra,Belize and Mexico,0,Helminth,1,0,0,1,0,0
5384,Trypanoxyuris minutus,Alouatta pigra,Belize and Mexico,0.308,Helminth,1,0,0,1,0,0
6148,Trypanoxyuris minutus,Alouatta pigra,Belize and Mexico,0.08,Helminth,1,0,0,1,0,0
6149,Trypanoxyuris minutus,Alouatta pigra,Belize and Mexico,0.268,Helminth,1,0,0,1,0,0
8960,Trypanoxyuris minutus,Alouatta pigra,Macuspana,0.857,Helminth,1,0,0,1,0,0
5723,Raillietina sp.,Alouatta pigra,ET forestry reserve,0,Helminth,0,0,0,0,0,1
5724,Raillietina sp.,Alouatta pigra,Calakmul,0.035,Helminth,0,0,0,0,0,1
5725,Raillietina sp.,Alouatta pigra,Palenque,0.035,Helminth,0,0,0,0,0,1
5726,Raillietina sp.,Alouatta pigra,Montes Azules,0.044,Helminth,0,0,0,0,0,1
5727,Raillietina sp.,Alouatta pigra,Reforma Agraria,0,Helminth,0,0,0,0,0,1
5734,Raillietina sp.,Alouatta pigra,MEXICO,0.045,Helminth,0,0,0,0,0,1
5746,Raillietina sp.,Alouatta pigra,ET forestry reserve,0,Helminth,0,0,0,0,0,1
5747,Raillietina sp.,Alouatta pigra,ET forestry reserve,0,Helminth,0,0,0,0,0,1
5748,Raillietina sp.,Alouatta pigra,Calakmul,0,Helminth,0,0,0,0,0,1
5749,Raillietina sp.,Alouatta pigra,Calakmul,0.125,Helminth,0,0,0,0,0,1
5750,Raillietina sp.,Alouatta pigra,Palenque,0,Helminth,0,0,0,0,0,1
5751,Raillietina sp.,Alouatta pigra,Palenque,0,Helminth,0,0,0,0,0,1
5752,Raillietina sp.,Alouatta pigra,Montes Azules,0,Helminth,0,0,0,0,0,1
5753,Raillietina sp.,Alouatta pigra,Montes Azules,0.067,Helminth,0,0,0,0,0,1
5754,Raillietina sp.,Alouatta pigra,Reforma Agraria,0,Helminth,0,0,0,0,0,1
5755,Raillietina sp.,Alouatta pigra,Reforma Agraria,0,Helminth,0,0,0,0,0,1
6141,Cryptosporidium parvum,Alouatta pigra,Belize and Mexico,0,Protozoa,1,0,0,1,0,0
3882,Entamoeba coli,Alouatta pigra,Biosfera Montes Azules,0.38,Protozoa,1,0,0,1,0,0
4889,Entamoeba coli,Alouatta pigra,Biosfera Montes Azules,,Protozoa,1,0,0,1,0,0
5030,Entamoeba coli,Alouatta pigra,Biosfera Montes Azules,,Protozoa,1,0,0,1,0,0
5153,Entamoeba coli,Alouatta pigra,Biosfera Montes Azules,,Protozoa,1,0,0,1,0,0
5287,Entamoeba coli,Alouatta pigra,Biosfera Montes Azules,,Protozoa,1,0,0,1,0,0
3883,Isospora sp.,Alouatta pigra,Biosfera Montes Azules,0.1,Protozoa,0,0,0,0,0,0
4890,Isospora sp.,Alouatta pigra,Biosfera Montes Azules,,Protozoa,0,0,0,0,0,0
5031,Isospora sp.,Alouatta pigra,Biosfera Montes Azules,,Protozoa,0,0,0,0,0,0
5154,Isospora sp.,Alouatta pigra,Biosfera Montes Azules,,Protozoa,0,0,0,0,0,0
5288,Isospora sp.,Alouatta pigra,Biosfera Montes Azules,,Protozoa,0,0,0,0,0,0
4796,Controrchis biliophilus,Alouatta pigra,Belize and Mexico,0.8,Helminth,0,0,0,0,0,1
4798,Controrchis biliophilus,Alouatta pigra,Belize and Mexico,0.81,Helminth,0,0,0,0,0,1
4979,Controrchis biliophilus,Alouatta pigra,Belize and Mexico,0.769,Helminth,0,0,0,0,0,1
